invoice_id,vendor,category,amount_czk,issued_on,due_on,po_number,cost_center,approver,is_anomaly,anomaly_type
INV-001165,Microsoft Ireland Operations,cloud,70334.94,2025-12-30,2026-01-19,PO-93490,CC-266,jnovak,0,
INV-001166,KPMG Česká republika,consulting,66143.14,2025-07-04,2025-08-05,PO-98322,CC-294,jnovak,0,
INV-001167,T-Mobile Czech Republic,telecom,9979.35,2025-01-08,2025-01-29,PO-27605,CC-297,msrnec,0,
INV-001168,Google Cloud EMEA,cloud,43556.15,2025-01-29,2025-02-15,PO-19883,CC-166,jnovak,0,
INV-001169,PPL CZ s.r.o.,logistics,13130.34,2025-10-10,2025-11-14,PO-78086,CC-246,jnovak,0,
INV-001170,Alza.cz a.s.,office_supply,500.0,2025-08-28,2025-09-23,PO-56189,CC-342,ldvorak,0,
INV-001171,T-Mobile Czech Republic,telecom,9094.45,2025-02-25,2025-04-03,PO-61623,CC-242,jnovak,0,
INV-001172,Havel & Partners,legal,26998.95,2025-08-20,2025-09-12,,CC-298,msrnec,0,
INV-001173,Kinstellar s.r.o.,legal,53462.87,2025-05-19,2025-06-10,PO-79553,CC-126,tklimes,0,
INV-001174,Deloitte Advisory s.r.o.,consulting,55479.75,2025-05-12,2025-06-17,PO-36662,CC-377,msrnec,0,
INV-001175,Engie Services a.s.,facility,22576.6,2025-12-03,2025-12-26,PO-60404,CC-324,ldvorak,0,
INV-001176,PwC Česká republika,consulting,84819.79,2025-12-16,2026-01-13,PO-52253,CC-360,tklimes,0,
INV-001177,ČEZ Distribuce a.s.,utilities,44294.04,2025-09-30,2025-10-24,PO-84178,CC-165,tklimes,0,
INV-001178,ČEZ Distribuce a.s.,utilities,32221.94,2025-03-17,2025-04-27,PO-95773,CC-330,tklimes,0,
INV-001179,Office Depot s.r.o.,office_supply,5669.28,2025-05-07,2025-05-22,PO-80401,CC-140,jnovak,0,
INV-001180,Kinstellar s.r.o.,legal,81940.11,2025-09-17,2025-10-24,PO-22321,CC-305,ldvorak,0,
INV-001181,JetBrains s.r.o.,software,7268.62,2025-09-16,2025-10-05,PO-98743,CC-183,msrnec,0,
INV-001182,ČEZ Distribuce a.s.,utilities,37262.73,2025-11-18,2025-12-03,PO-64826,CC-349,kvarga,0,
INV-001183,Google Cloud EMEA,cloud,28411.69,2025-11-18,2025-12-16,PO-28187,CC-243,jnovak,0,
INV-001184,AWS EMEA SARL,cloud,50484.49,2025-06-09,2025-07-04,PO-42114,CC-111,msrnec,0,
INV-001185,Grafton Recruitment,hr_services,68677.15,2025-11-03,2025-12-12,PO-89346,CC-119,ldvorak,0,
INV-001186,Booking.com,travel,5657.07,2025-04-15,2025-05-01,PO-89525,CC-387,tklimes,0,
INV-001187,Lagardère Travel Retail,travel,8393.2,2025-02-20,2025-03-29,PO-37984,CC-268,msrnec,0,
INV-001188,AdHoc Trading s.r.o. #5407,consulting,286179.44,2025-05-29,2025-07-09,PO-24526,CC-249,kvarga,1,new_vendor_high
INV-001189,JetBrains s.r.o.,software,9334.31,2025-03-20,2025-04-18,PO-97891,CC-379,tklimes,0,
INV-001190,Grafton Recruitment,hr_services,80128.57,2025-10-15,2025-11-07,PO-89383,CC-266,msrnec,0,
INV-001191,T-Mobile Czech Republic,telecom,8020.29,2025-06-10,2025-07-13,PO-52281,CC-317,msrnec,0,
INV-001192,O2 Czech Republic,telecom,14590.19,2025-01-15,2025-02-19,PO-21453,CC-127,msrnec,0,
INV-001193,Manpower Group s.r.o.,hr_services,72361.38,2025-10-08,2025-11-03,PO-12203,CC-294,tklimes,0,
INV-001194,PPL CZ s.r.o.,logistics,8529.28,2025-02-25,2025-04-08,PO-32739,CC-142,tklimes,0,
INV-001195,Manpower Group s.r.o.,hr_services,106580.36,2025-04-24,2025-06-07,PO-85895,CC-185,kvarga,0,
INV-001196,Office Depot s.r.o.,office_supply,3061.22,2025-07-02,2025-07-23,PO-28018,CC-114,msrnec,0,
INV-001197,JetBrains s.r.o.,software,10620.99,2025-06-03,2025-07-15,PO-98605,CC-287,kvarga,0,
INV-001198,Pražská plynárenská a.s.,utilities,20464.94,2025-11-12,2025-11-27,PO-75098,CC-179,msrnec,0,
INV-001199,PPL CZ s.r.o.,logistics,3404.05,2025-11-26,2025-12-28,PO-80772,CC-220,jnovak,0,
INV-001200,Lagardère Travel Retail,travel,780.83,2025-08-18,2025-09-15,PO-44869,CC-316,ldvorak,0,
INV-001201,Engie Services a.s.,facility,17160.86,2025-07-29,2025-09-07,PO-85203,CC-263,ldvorak,0,
INV-001202,Lagardère Travel Retail,travel,7144.85,2025-01-20,2025-02-21,PO-10806,CC-211,msrnec,0,
INV-001203,PPL CZ s.r.o.,logistics,9597.18,2025-03-19,2025-04-03,PO-92956,CC-272,msrnec,0,
INV-001204,O2 Czech Republic,telecom,10609.52,2025-01-07,2025-02-10,PO-75265,CC-190,kvarga,0,
INV-001205,Pražská plynárenská a.s.,utilities,10504.33,2025-12-30,2026-01-27,PO-54440,CC-179,ldvorak,0,
INV-001206,Google Cloud EMEA,cloud,39838.02,2025-12-19,2026-01-12,,CC-152,kvarga,0,
INV-001207,PwC Česká republika,consulting,105393.09,2025-06-28,2025-07-16,PO-67409,CC-267,msrnec,1,off_hours
INV-001208,ČSA a.s.,travel,9457.31,2025-09-02,2025-09-19,PO-16670,CC-188,kvarga,0,
INV-001209,Manpower Group s.r.o.,hr_services,122614.4,2025-05-13,2025-05-31,PO-67785,CC-339,tklimes,0,
INV-001210,Pražská plynárenská a.s.,utilities,23643.05,2025-03-27,2025-04-16,PO-20980,CC-310,jnovak,0,
INV-001211,DHL Express,logistics,11593.13,2025-07-04,2025-07-25,,CC-304,jnovak,0,
INV-001212,Office Depot s.r.o.,office_supply,4872.49,2025-06-25,2025-08-03,PO-95787,CC-211,tklimes,0,
INV-001213,PPL CZ s.r.o.,logistics,7906.87,2025-04-29,2025-05-22,PO-41905,CC-309,msrnec,0,
INV-001214,ČSA a.s.,travel,11484.8,2025-08-18,2025-09-14,PO-77910,CC-257,msrnec,0,
INV-001215,Pražská plynárenská a.s.,utilities,10767.05,2025-07-02,2025-07-27,PO-32440,CC-137,ldvorak,0,
INV-001216,KPMG Česká republika,consulting,51993.55,2025-01-31,2025-02-25,PO-63756,CC-155,jnovak,0,
INV-001217,T-Mobile Czech Republic,telecom,7911.59,2025-03-06,2025-04-19,PO-76327,CC-133,tklimes,0,
INV-001218,Havel & Partners,legal,46283.95,2025-07-09,2025-08-13,,CC-147,kvarga,0,
INV-001219,PPL CZ s.r.o.,logistics,15712.86,2025-08-26,2025-09-19,PO-37356,CC-172,ldvorak,0,
INV-001220,Pražská plynárenská a.s.,utilities,18213.38,2025-03-18,2025-04-27,PO-72123,CC-207,ldvorak,0,
INV-001221,ČSA a.s.,travel,21211.99,2025-12-02,2026-01-03,PO-85924,CC-386,tklimes,0,
INV-001222,Havel & Partners,legal,50878.52,2025-02-11,2025-03-24,PO-84265,CC-382,kvarga,0,
INV-001223,ČSA a.s.,travel,37152.38,2025-07-21,2025-08-16,PO-70653,CC-369,ldvorak,0,
INV-001224,Google Cloud EMEA,cloud,51076.99,2025-02-26,2025-03-16,PO-62379,CC-136,msrnec,0,
INV-001225,Office Depot s.r.o.,office_supply,4704.87,2025-02-17,2025-03-12,PO-71609,CC-107,tklimes,0,
INV-001226,PPL CZ s.r.o.,logistics,8893.82,2025-04-01,2025-05-10,PO-74581,CC-235,kvarga,0,
INV-001227,Microsoft Ireland Operations,cloud,36236.34,2025-03-11,2025-04-09,PO-21153,CC-283,kvarga,0,
INV-001228,Havel & Partners,legal,32638.85,2025-10-17,2025-11-26,PO-93797,CC-278,msrnec,0,
INV-001229,Google Cloud EMEA,cloud,45361.27,2025-07-02,2025-07-19,PO-67935,CC-197,jnovak,0,
INV-001230,AWS EMEA SARL,cloud,43572.33,2025-06-09,2025-07-01,,CC-291,kvarga,0,
INV-001231,Office Depot s.r.o.,office_supply,3559.95,2025-05-17,2025-06-30,PO-53031,CC-338,ldvorak,1,duplicate
INV-001232,KPMG Česká republika,consulting,73739.0,2025-03-06,2025-03-29,PO-28878,CC-360,kvarga,0,
INV-001233,PPL CZ s.r.o.,logistics,15410.61,2025-09-01,2025-10-09,PO-25012,CC-387,jnovak,0,
INV-001234,T-Mobile Czech Republic,telecom,10044.6,2025-12-08,2026-01-19,PO-19284,CC-266,jnovak,0,
INV-001235,ČEZ Distribuce a.s.,utilities,38333.05,2025-11-03,2025-11-23,PO-64140,CC-195,ldvorak,0,
INV-001236,JetBrains s.r.o.,software,8618.69,2025-01-09,2025-01-29,PO-35718,CC-370,tklimes,0,
INV-001237,ČEZ Distribuce a.s.,utilities,53684.88,2025-03-21,2025-04-26,PO-19574,CC-145,msrnec,0,
INV-001238,Office Depot s.r.o.,office_supply,3386.21,2025-02-21,2025-03-08,PO-57846,CC-334,msrnec,0,
INV-001239,JetBrains s.r.o.,software,12191.5,2025-08-21,2025-09-06,PO-53086,CC-323,kvarga,0,
INV-001240,Office Depot s.r.o.,office_supply,4647.06,2025-04-01,2025-04-30,PO-48661,CC-146,kvarga,0,
INV-001241,Makro Cash & Carry,catering,5247.97,2025-03-26,2025-05-05,PO-38814,CC-219,jnovak,0,
INV-001242,Engie Services a.s.,facility,19581.12,2025-04-02,2025-05-06,PO-41771,CC-365,tklimes,0,
INV-001243,ČEZ Distribuce a.s.,utilities,43999.21,2025-02-04,2025-03-05,PO-50869,CC-121,jnovak,0,
INV-001244,JetBrains s.r.o.,software,10758.19,2025-10-10,2025-10-25,PO-89410,CC-345,ldvorak,0,
INV-001245,Kinstellar s.r.o.,legal,66271.66,2025-10-22,2025-11-18,PO-89535,CC-237,ldvorak,0,
INV-001246,Grafton Recruitment,hr_services,107273.58,2025-01-29,2025-03-12,PO-78749,CC-198,tklimes,0,
INV-001247,Grafton Recruitment,hr_services,95211.5,2025-02-27,2025-03-20,PO-37935,CC-338,kvarga,0,
INV-001248,AWS EMEA SARL,cloud,56643.45,2025-02-21,2025-03-18,,CC-243,jnovak,0,
INV-001249,AWS EMEA SARL,cloud,37756.62,2025-06-04,2025-07-02,PO-62341,CC-324,jnovak,0,
INV-001250,Makro Cash & Carry,catering,5589.21,2025-05-05,2025-05-19,PO-45869,CC-288,kvarga,0,
INV-001251,AWS EMEA SARL,cloud,51586.96,2025-12-31,2026-01-19,PO-71125,CC-352,ldvorak,0,
INV-001252,Lagardère Travel Retail,travel,1008.89,2025-06-11,2025-07-23,PO-67179,CC-258,tklimes,0,
INV-001253,T-Mobile Czech Republic,telecom,11525.62,2025-06-13,2025-07-10,PO-90202,CC-368,tklimes,0,
INV-001254,Pražská plynárenská a.s.,utilities,17201.47,2025-03-27,2025-04-20,PO-70477,CC-275,kvarga,0,
INV-001255,PPL CZ s.r.o.,logistics,13836.75,2025-10-03,2025-11-01,PO-80316,CC-238,kvarga,0,
INV-001256,PwC Česká republika,consulting,60066.08,2025-02-13,2025-03-10,PO-91771,CC-237,msrnec,0,
INV-001257,ČSA a.s.,travel,11808.79,2025-10-13,2025-10-31,PO-15283,CC-102,tklimes,0,
INV-001258,Booking.com,travel,12688.07,2025-03-28,2025-04-28,PO-79035,CC-248,kvarga,0,
INV-001259,Deloitte Advisory s.r.o.,consulting,115135.9,2025-05-29,2025-07-08,PO-42456,CC-234,tklimes,0,
INV-001260,Pražská plynárenská a.s.,utilities,21009.53,2025-04-29,2025-05-13,PO-96191,CC-379,msrnec,0,
INV-001261,O2 Czech Republic,telecom,13266.46,2025-03-31,2025-05-05,PO-39717,CC-293,kvarga,0,
INV-001262,PPL CZ s.r.o.,logistics,12589.3,2025-08-22,2025-09-20,PO-96606,CC-124,msrnec,0,
INV-001263,AWS EMEA SARL,cloud,43767.87,2025-09-19,2025-11-02,PO-30935,CC-391,tklimes,0,
INV-001264,ČEZ Distribuce a.s.,utilities,40733.98,2025-04-28,2025-06-05,PO-56415,CC-392,kvarga,0,
INV-001265,Engie Services a.s.,facility,34998.77,2025-07-22,2025-08-18,PO-21512,CC-318,kvarga,0,
INV-001266,Booking.com,travel,6163.88,2025-08-08,2025-09-02,PO-53756,CC-186,ldvorak,0,
INV-001267,Engie Services a.s.,facility,21254.68,2025-07-22,2025-09-04,PO-44530,CC-338,ldvorak,1,duplicate
INV-001268,Kinstellar s.r.o.,legal,55457.43,2025-01-10,2025-02-14,PO-41095,CC-107,kvarga,0,
INV-001269,Kinstellar s.r.o.,legal,47494.59,2025-07-02,2025-08-04,PO-68982,CC-213,ldvorak,0,
INV-001270,ČSA a.s.,travel,36327.25,2025-09-12,2025-10-05,PO-78076,CC-200,jnovak,0,
INV-001271,ČEZ Distribuce a.s.,utilities,35313.81,2025-08-14,2025-09-02,PO-35616,CC-363,msrnec,0,
INV-001272,Makro Cash & Carry,catering,2735.65,2025-10-21,2025-11-19,PO-58093,CC-314,kvarga,0,
INV-001273,Pražská plynárenská a.s.,utilities,25113.28,2025-06-17,2025-07-14,PO-60580,CC-311,tklimes,0,
INV-001274,JetBrains s.r.o.,software,9947.83,2025-08-08,2025-09-17,PO-35306,CC-291,ldvorak,0,
INV-001275,Manpower Group s.r.o.,hr_services,99974.48,2025-02-27,2025-03-22,PO-69758,CC-353,jnovak,0,
INV-001276,T-Mobile Czech Republic,telecom,9133.63,2025-04-15,2025-05-28,PO-39104,CC-344,ldvorak,0,
INV-001277,Manpower Group s.r.o.,hr_services,104081.84,2025-01-14,2025-02-17,PO-55053,CC-105,kvarga,0,
INV-001278,Booking.com,travel,4008.48,2025-02-20,2025-03-29,PO-85638,CC-305,tklimes,0,
INV-001279,JetBrains s.r.o.,software,9592.6,2025-07-22,2025-08-28,PO-73680,CC-391,jnovak,0,
INV-001280,Office Depot s.r.o.,office_supply,100000.0,2025-11-20,2025-12-06,PO-75983,CC-302,msrnec,1,round_sum
INV-001281,Red Hat Czech s.r.o.,software,272321.46,2025-05-23,2025-06-25,,CC-199,kvarga,1,missing_po
INV-001282,T-Mobile Czech Republic,telecom,11662.95,2025-12-19,2026-01-22,,CC-125,jnovak,0,
INV-001283,Grafton Recruitment,hr_services,85417.01,2025-09-29,2025-10-28,PO-63879,CC-100,kvarga,0,
INV-001284,Havel & Partners,legal,88964.16,2025-10-15,2025-11-02,PO-61122,CC-377,msrnec,0,
INV-001285,Office Depot s.r.o.,office_supply,200000.0,2025-09-22,2025-11-01,PO-55481,CC-320,kvarga,1,round_sum
INV-001286,Havel & Partners,legal,75859.44,2025-05-20,2025-06-26,PO-74013,CC-389,jnovak,0,
INV-001287,PwC Česká republika,consulting,68724.09,2025-07-18,2025-08-14,PO-85616,CC-197,ldvorak,0,
INV-001288,DHL Express,logistics,12919.64,2025-11-12,2025-12-16,PO-27934,CC-378,jnovak,0,
INV-001289,Grafton Recruitment,hr_services,95153.14,2025-07-09,2025-08-02,PO-68281,CC-180,ldvorak,0,
INV-001290,Microsoft Ireland Operations,cloud,47653.42,2025-04-24,2025-05-14,PO-31658,CC-141,msrnec,0,
INV-001291,AWS EMEA SARL,cloud,61679.27,2025-01-20,2025-02-10,PO-54620,CC-358,ldvorak,0,
INV-001292,Booking.com,travel,9404.44,2025-06-11,2025-06-25,PO-63799,CC-187,jnovak,0,
INV-001293,Makro Cash & Carry,catering,11833.15,2025-08-08,2025-09-11,PO-20770,CC-250,ldvorak,0,
INV-001294,Alza.cz a.s.,office_supply,8201.51,2025-12-05,2025-12-23,PO-98934,CC-221,jnovak,0,
INV-001295,Alza.cz a.s.,office_supply,3047.03,2025-08-15,2025-09-25,PO-89378,CC-148,ldvorak,0,
INV-001296,T-Mobile Czech Republic,telecom,9650.8,2025-09-01,2025-10-05,PO-63364,CC-117,jnovak,0,
INV-001297,PwC Česká republika,consulting,89415.53,2025-06-09,2025-07-10,PO-25150,CC-112,tklimes,0,
INV-001298,Office Depot s.r.o.,office_supply,2680.97,2025-02-21,2025-03-12,PO-91259,CC-347,tklimes,0,
INV-001299,ČSA a.s.,travel,21956.29,2025-03-12,2025-03-29,PO-50606,CC-301,msrnec,0,
INV-001300,Pražská plynárenská a.s.,utilities,20943.85,2025-05-23,2025-06-10,PO-27131,CC-226,msrnec,0,
INV-001301,KPMG Česká republika,consulting,73703.1,2025-04-25,2025-05-13,PO-68241,CC-294,tklimes,0,
INV-001302,Kinstellar s.r.o.,legal,66944.36,2025-09-23,2025-10-27,PO-69076,CC-226,jnovak,0,
INV-001303,AWS EMEA SARL,cloud,42222.22,2025-07-10,2025-08-16,PO-43220,CC-272,ldvorak,0,
INV-001304,Red Hat Czech s.r.o.,software,90336.4,2025-01-14,2025-02-11,PO-33776,CC-261,kvarga,0,
INV-001305,Makro Cash & Carry,catering,1205.62,2025-03-14,2025-04-16,PO-50086,CC-181,jnovak,0,
INV-001306,Google Cloud EMEA,cloud,32682.99,2025-03-03,2025-03-19,PO-87471,CC-265,jnovak,0,
INV-001307,Lagardère Travel Retail,travel,6330.65,2025-07-16,2025-08-26,,CC-214,tklimes,0,
INV-001308,DHL Express,logistics,21656.37,2025-06-16,2025-07-07,PO-53413,CC-376,tklimes,0,
INV-001309,ČSA a.s.,travel,43713.84,2025-08-28,2025-10-10,PO-39359,CC-206,kvarga,0,
INV-001310,PwC Česká republika,consulting,85021.52,2025-11-20,2025-12-23,PO-92680,CC-188,tklimes,0,
INV-001311,JetBrains s.r.o.,software,9727.5,2025-10-10,2025-10-31,PO-97076,CC-202,jnovak,0,
INV-001312,Red Hat Czech s.r.o.,software,86101.7,2025-11-24,2025-12-30,PO-15429,CC-315,ldvorak,0,
INV-001313,O2 Czech Republic,telecom,9093.83,2025-10-07,2025-11-19,PO-42222,CC-207,tklimes,0,
INV-001314,Alza.cz a.s.,office_supply,8519.52,2025-09-16,2025-10-27,PO-15242,CC-186,ldvorak,0,
INV-001315,ČSA a.s.,travel,18866.41,2025-01-28,2025-03-07,PO-35394,CC-318,jnovak,0,
INV-001316,Lagardère Travel Retail,travel,7046.4,2025-11-26,2025-12-22,PO-95703,CC-372,tklimes,0,
INV-001317,Pražská plynárenská a.s.,utilities,19981.09,2025-07-11,2025-08-07,PO-68750,CC-283,ldvorak,0,
INV-001318,Engie Services a.s.,facility,14284.26,2025-09-18,2025-10-07,PO-39596,CC-143,jnovak,0,
INV-001319,Grafton Recruitment,hr_services,162780.07,2025-03-06,2025-04-01,,CC-294,tklimes,1,missing_po
INV-001320,Engie Services a.s.,facility,27292.26,2025-12-22,2026-01-25,PO-17733,CC-304,jnovak,0,
INV-001321,Booking.com,travel,500.0,2025-08-27,2025-10-02,PO-51417,CC-102,kvarga,0,
INV-001322,O2 Czech Republic,telecom,13355.14,2025-02-04,2025-03-16,PO-79094,CC-228,kvarga,0,
INV-001323,T-Mobile Czech Republic,telecom,10160.78,2025-12-02,2026-01-12,PO-31548,CC-169,msrnec,0,
INV-001324,Pražská plynárenská a.s.,utilities,17902.19,2025-09-09,2025-10-16,PO-12745,CC-338,tklimes,0,
INV-001325,Red Hat Czech s.r.o.,software,88117.39,2025-02-07,2025-03-02,PO-95980,CC-380,kvarga,0,
INV-001326,Office Depot s.r.o.,office_supply,2118.17,2025-12-19,2026-01-20,PO-23575,CC-129,jnovak,0,
INV-001327,PwC Česká republika,consulting,75419.28,2025-05-29,2025-06-25,PO-61658,CC-379,kvarga,0,
INV-001328,Engie Services a.s.,facility,24669.76,2025-06-30,2025-08-07,PO-23721,CC-172,tklimes,0,
INV-001329,Office Depot s.r.o.,office_supply,500.0,2025-06-25,2025-07-21,PO-55158,CC-146,jnovak,0,
INV-001330,PPL CZ s.r.o.,logistics,13010.54,2025-12-04,2025-12-20,PO-45674,CC-149,jnovak,0,
INV-001331,Kinstellar s.r.o.,legal,50255.24,2025-12-01,2026-01-05,PO-45750,CC-396,msrnec,0,
INV-001332,Manpower Group s.r.o.,hr_services,113394.28,2025-02-21,2025-04-05,PO-62561,CC-232,kvarga,0,
INV-001333,AWS EMEA SARL,cloud,49723.02,2025-01-08,2025-02-13,PO-94185,CC-235,msrnec,0,
INV-001334,Kinstellar s.r.o.,legal,64702.43,2025-08-15,2025-08-29,PO-94909,CC-280,msrnec,0,
INV-001335,Google Cloud EMEA,cloud,24126.3,2025-09-08,2025-09-23,PO-17130,CC-219,kvarga,0,
INV-001336,Lagardère Travel Retail,travel,3891.92,2025-08-12,2025-09-08,PO-90079,CC-251,kvarga,0,
INV-001337,Office Depot s.r.o.,office_supply,3004.4,2025-01-28,2025-02-19,PO-42330,CC-368,tklimes,0,
INV-001338,ČSA a.s.,travel,14369.49,2025-04-09,2025-05-16,PO-23328,CC-390,kvarga,0,
INV-001339,O2 Czech Republic,telecom,15815.81,2025-12-30,2026-02-09,PO-29609,CC-104,jnovak,0,
INV-001340,DHL Express,logistics,14900.86,2025-01-13,2025-02-23,PO-47810,CC-336,ldvorak,0,
INV-001341,Grafton Recruitment,hr_services,90045.3,2025-08-06,2025-09-10,PO-73892,CC-266,jnovak,0,
INV-001342,KPMG Česká republika,consulting,83771.74,2025-01-03,2025-01-21,PO-68138,CC-188,tklimes,0,
INV-001343,AWS EMEA SARL,cloud,33362.87,2025-08-12,2025-09-23,PO-88076,CC-148,kvarga,0,
INV-001344,Office Depot s.r.o.,office_supply,4952.84,2025-04-09,2025-04-26,PO-60615,CC-189,ldvorak,0,
INV-001345,Makro Cash & Carry,catering,7202.29,2025-08-04,2025-08-30,PO-32945,CC-339,jnovak,0,
INV-001346,Google Cloud EMEA,cloud,38607.03,2025-10-29,2025-11-28,PO-50444,CC-283,kvarga,0,
INV-001347,PPL CZ s.r.o.,logistics,11623.25,2025-07-30,2025-08-26,PO-64787,CC-111,tklimes,0,
INV-001348,AWS EMEA SARL,cloud,54541.31,2025-03-14,2025-04-22,PO-25272,CC-160,tklimes,0,
INV-001349,Deloitte Advisory s.r.o.,consulting,80031.79,2025-02-25,2025-03-18,PO-95001,CC-250,msrnec,0,
INV-001350,Red Hat Czech s.r.o.,software,84520.51,2025-07-22,2025-08-20,PO-64759,CC-290,ldvorak,0,
INV-001351,Engie Services a.s.,facility,31836.9,2025-11-11,2025-12-06,PO-58539,CC-328,jnovak,0,
INV-001352,Makro Cash & Carry,catering,2779.95,2025-03-12,2025-04-13,PO-60129,CC-188,msrnec,0,
INV-001353,DHL Express,logistics,14579.9,2025-12-18,2026-01-04,PO-40351,CC-152,msrnec,0,
INV-001354,PPL CZ s.r.o.,logistics,11121.67,2025-02-13,2025-03-12,PO-24627,CC-393,jnovak,0,
INV-001355,PwC Česká republika,consulting,87833.19,2025-08-01,2025-09-03,PO-93777,CC-273,tklimes,0,
INV-001356,ČSA a.s.,travel,17843.69,2025-11-05,2025-11-26,PO-59755,CC-152,msrnec,0,
INV-001357,ČSA a.s.,travel,13586.7,2025-05-12,2025-06-18,PO-57229,CC-359,tklimes,0,
INV-001358,PwC Česká republika,consulting,88190.68,2025-08-26,2025-10-04,PO-19966,CC-314,jnovak,0,
INV-001359,Pražská plynárenská a.s.,utilities,19898.15,2025-03-31,2025-05-09,PO-74280,CC-228,jnovak,0,
INV-001360,JetBrains s.r.o.,software,4569.01,2025-01-06,2025-01-26,PO-18622,CC-334,tklimes,0,
INV-001361,O2 Czech Republic,telecom,9611.72,2025-04-28,2025-05-30,PO-44831,CC-226,tklimes,0,
INV-001362,Makro Cash & Carry,catering,12515.47,2025-07-30,2025-08-20,PO-36783,CC-288,ldvorak,0,
INV-001363,O2 Czech Republic,telecom,10669.06,2025-11-14,2025-12-22,PO-76142,CC-320,msrnec,0,
INV-001364,Alza.cz a.s.,office_supply,3909.96,2025-04-09,2025-05-09,PO-38299,CC-388,msrnec,0,
INV-001365,Engie Services a.s.,facility,26256.76,2025-07-14,2025-08-05,PO-64574,CC-168,msrnec,0,
INV-001366,O2 Czech Republic,telecom,12508.0,2025-04-23,2025-06-02,PO-76186,CC-138,msrnec,0,
INV-001367,KPMG Česká republika,consulting,79666.92,2025-06-13,2025-07-10,PO-81823,CC-118,tklimes,0,
INV-001368,Engie Services a.s.,facility,25083.31,2025-02-26,2025-03-25,PO-60866,CC-253,ldvorak,0,
INV-001369,Deloitte Advisory s.r.o.,consulting,38627.17,2025-02-26,2025-04-11,PO-89067,CC-314,tklimes,0,
INV-001370,Makro Cash & Carry,catering,10349.38,2025-04-14,2025-05-27,PO-32089,CC-183,msrnec,0,
INV-001371,KPMG Česká republika,consulting,81563.03,2025-01-14,2025-02-27,PO-21398,CC-182,ldvorak,0,
INV-001372,Kinstellar s.r.o.,legal,66230.85,2025-09-22,2025-10-22,PO-94233,CC-387,kvarga,0,
INV-001373,Engie Services a.s.,facility,20665.12,2025-09-19,2025-10-11,PO-42140,CC-223,msrnec,0,
INV-001374,Makro Cash & Carry,catering,9554.37,2025-02-24,2025-03-21,PO-96538,CC-304,msrnec,0,
INV-001375,Kinstellar s.r.o.,legal,32959.04,2025-10-02,2025-11-05,PO-93441,CC-243,jnovak,0,
INV-001376,KPMG Česká republika,consulting,81931.68,2025-10-23,2025-12-03,PO-79244,CC-252,msrnec,0,
INV-001377,Grafton Recruitment,hr_services,115715.62,2025-08-26,2025-09-09,PO-87686,CC-378,msrnec,0,
INV-001378,Lagardère Travel Retail,travel,6101.92,2025-06-19,2025-07-17,PO-39352,CC-200,ldvorak,0,
INV-001379,Office Depot s.r.o.,office_supply,3590.43,2025-04-22,2025-05-14,PO-14917,CC-302,msrnec,0,
INV-001380,AWS EMEA SARL,cloud,36540.51,2025-12-01,2025-12-25,PO-13836,CC-366,jnovak,0,
INV-001381,JetBrains s.r.o.,software,10957.14,2025-03-05,2025-04-17,PO-39220,CC-238,ldvorak,0,
INV-001382,Manpower Group s.r.o.,hr_services,77451.99,2025-07-24,2025-08-08,PO-15138,CC-338,jnovak,0,
INV-001383,Google Cloud EMEA,cloud,25148.56,2025-01-27,2025-02-13,PO-59941,CC-146,tklimes,0,
INV-001384,ČEZ Distribuce a.s.,utilities,38800.03,2025-01-14,2025-02-27,PO-93904,CC-290,msrnec,0,
INV-001385,Pražská plynárenská a.s.,utilities,22321.67,2025-08-28,2025-09-26,PO-12446,CC-346,ldvorak,0,
INV-001386,Engie Services a.s.,facility,41820.41,2025-05-07,2025-05-27,PO-94795,CC-281,kvarga,0,
INV-001387,AWS EMEA SARL,cloud,32199.97,2025-09-04,2025-10-01,PO-57256,CC-387,jnovak,0,
INV-001388,Google Cloud EMEA,cloud,25173.09,2025-02-27,2025-03-19,PO-69091,CC-380,jnovak,0,
INV-001389,AWS EMEA SARL,cloud,33256.63,2025-03-19,2025-04-20,PO-93538,CC-294,kvarga,0,
INV-001390,Alza.cz a.s.,office_supply,2872.64,2025-04-23,2025-05-28,PO-31732,CC-387,msrnec,0,
INV-001391,KPMG Česká republika,consulting,80343.18,2025-09-29,2025-10-16,PO-71442,CC-136,ldvorak,0,
INV-001392,Deloitte Advisory s.r.o.,consulting,97108.8,2025-09-04,2025-10-13,PO-46227,CC-103,ldvorak,0,
INV-001393,ČSA a.s.,travel,33274.1,2025-11-26,2025-12-28,PO-13432,CC-165,kvarga,0,
INV-001394,JetBrains s.r.o.,software,8425.18,2025-07-29,2025-09-08,PO-47353,CC-260,ldvorak,0,
INV-001395,Engie Services a.s.,facility,27082.39,2025-06-17,2025-07-22,PO-43403,CC-127,kvarga,0,
INV-001396,PwC Česká republika,consulting,65949.64,2025-12-22,2026-01-17,PO-55547,CC-381,ldvorak,0,
INV-001397,Alza.cz a.s.,office_supply,9278.32,2025-10-17,2025-11-09,PO-31800,CC-113,msrnec,0,
INV-001398,Manpower Group s.r.o.,hr_services,116193.22,2025-02-18,2025-03-07,PO-59212,CC-289,ldvorak,0,
INV-001399,Office Depot s.r.o.,office_supply,3713.66,2025-08-04,2025-08-29,PO-96393,CC-328,tklimes,0,
